beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.1,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.503717486738871,0.006029952060348078,5559.0,0.9396400976945373
0.1,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5251379007725017,0.0064361199304543955,6615.0,0.8862770827226149
0.1,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.6835166277795023,0.006737445389232609,2373471.0,0.5041291759787935
0.1,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6301587945295546,0.0071453378548456264,14629.0,0.740453798873096
0.2,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.3487412267163179,0.010118063050438815,7699.0,0.8321574425396582
0.2,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5668673249677715,0.007321206119502829,180838.0,0.6159579051628984
0.2,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5185553675615083,0.00703621966079589,7030.0,0.8753174733079563
0.2,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.7732451734973329,0.005348974126972809,15545998.0,0.21420434815415476
0.2,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6302473365091901,0.004053637055980947,16661.0,0.6913774324962376
0.2,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.35229521213747406,0.016862241608645103,3875.0,0.8988010027051313
0.2,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.583978518728334,0.005864975073365878,10503.0,0.7910864923838282
0.2,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5231173135742578,0.006560671081288715,6259.0,0.9024513345894757
0.2,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.6274402024083708,0.003839949816972947,201870.0,0.5232831097611294
0.2,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6508009282559963,0.004403482732026787,27183.0,0.6348884609550816
0.2,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.38180391304714467,0.015724633404241815,4047.0,0.9242404177306026
0.2,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5366441485759985,0.007344824464772671,7134.0,0.8686139491381983
0.2,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5386154414888364,0.006969597144810957,6260.0,0.8887588417915909
0.2,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.8044591594889694,0.0005454357680466768,194872749.0,0.16016607401234456
0.2,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6388960709951383,0.0067353322440416585,13067.0,0.7540265063644938
0.2,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.35704835547267966,0.009807986817935307,9638.0,0.8043874053487159
0.2,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5090254956520909,0.007804262497271148,4768.0,0.9493448456735839
0.2,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5287005033965253,0.007974088785803796,5503.0,0.9120438417181085
0.2,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.5414151218888823,0.007584263782017006,24530.0,0.6703447622220535
0.2,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6259217046220792,0.0073046662879623254,11787.0,0.7720879092828096
0.2,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.36880727800954294,0.010904400217938457,12036.0,0.7816030861224603
0.2,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5191088384539626,0.005740751629511271,6303.0,0.9097386149895135
0.2,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5303135832238642,0.005953260606973192,7066.0,0.8746169856300232
